City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Kailua,US,2022-10-02 20:45:44,21.4022,-157.7394,82.38,91,49,7.0
128,Somerset,US,2022-10-02 20:45:44,40.5668,-74.5496,57.65,76,100,13.8
129,Kralendijk,BQ,2022-10-02 20:45:45,12.15,-68.2667,89.58,66,40,11.5
130,Cidreira,BR,2022-10-02 20:45:45,-30.1811,-50.2056,63.14,86,65,7.25
131,Luganville,VU,2022-10-02 20:45:45,-15.5333,167.1667,81.63,71,22,4.27
132,Pyskowice,PL,2022-10-02 20:45:46,50.4,18.6333,49.98,93,84,8.99
133,Itarema,BR,2022-10-02 20:45:46,-2.9248,-39.9167,77.94,81,8,17.52
134,Lavrentiya,RU,2022-10-02 20:45:47,65.5833,-171.0,37.4,75,21,9.17
135,Ribeira Grande,PT,2022-10-02 20:45:48,38.5167,-28.7,70.2,94,75,17.27
136,Saint-Philippe,RE,2022-10-02 20:45:48,-21.3585,55.7679,66.22,78,34,10.45
137,Aksarka,RU,2022-10-02 20:45:49,66.5606,67.7975,35.65,87,100,12.19
138,Batagay-Alyta,RU,2022-10-02 20:45:49,67.8006,130.4114,4.98,87,53,4.81
139,Ferme-Neuve,CA,2022-10-02 20:45:50,46.7001,-75.4493,52.74,41,0,5.03
140,Hofn,IS,2022-10-02 20:45:56,64.2539,-15.2082,46.56,66,97,5.26
141,Vila Velha,BR,2022-10-02 20:45:57,-20.3297,-40.2925,76.95,83,20,12.66
142,Vanimo,PG,2022-10-02 20:45:57,-2.6741,141.3028,76.68,90,84,5.64
143,New Norfolk,AU,2022-10-02 20:45:58,-42.7826,147.0587,47.71,86,98,2.08
144,Inuvik,CA,2022-10-02 20:45:58,68.3499,-133.7218,29.16,90,100,5.75
145,Marawi,PH,2022-10-02 20:45:59,7.9986,124.2928,68.79,92,100,2.21
146,Novo Aripuana,BR,2022-10-02 20:45:59,-5.1206,-60.3797,90.79,46,82,2.53
147,Te Anau,NZ,2022-10-02 20:46:00,-45.4167,167.7167,40.15,97,99,2.15
