City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Vuktyl,RU,63.8567,57.3094,44.1,96,100,5.19,overcast clouds
144,Yellowknife,CA,62.456,-114.3525,36.12,69,75,11.5,broken clouds
145,Elliot Lake,CA,46.3834,-82.6331,67.39,52,56,5.64,broken clouds
146,Hami,CN,42.8,93.45,57.74,38,100,16.84,overcast clouds
147,Carutapera,BR,-1.195,-46.02,82.49,67,41,10.25,scattered clouds
148,Alto Araguaia,BR,-17.3147,-53.2153,86.11,42,43,2.59,light rain
149,Adrar,MR,20.5022,-10.0711,98.8,15,9,10.71,clear sky
150,Santa Fe,AR,-31.6333,-60.7,81.01,26,5,7.0,clear sky
151,Tuatapere,NZ,-46.1333,167.6833,38.1,81,97,15.97,overcast clouds
152,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,39,11.1,scattered clouds
153,Yamada,JP,39.4667,141.95,62.13,90,100,2.62,light rain
154,Ornes,NO,66.8689,13.7078,49.39,72,100,9.19,light rain
155,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,75,9.22,light rain
156,Lao Cai,VN,22.4833,103.95,72.52,91,16,0.87,few clouds
157,Torbay,CA,47.6666,-52.7314,58.57,64,0,20.71,clear sky
158,Ust-Ilimsk,RU,58.0006,102.6619,23.58,90,39,3.94,scattered clouds
159,Coquimbo,CL,-29.9533,-71.3436,60.53,58,20,13.8,few clouds
160,Okhotsk,RU,59.3833,143.3,30.85,54,81,13.94,broken clouds
161,Prainha,BR,-1.8,-53.48,95.77,33,20,4.43,few clouds
162,Boende,CD,-0.2167,20.8667,76.6,77,92,2.24,overcast clouds
163,Concarneau,FR,47.875,-3.9225,63.82,85,100,11.27,overcast clouds
164,Elko,US,41.0002,-115.5012,70.74,22,0,5.99,clear sky
165,Pushkinskiye Gory,RU,57.0209,28.9103,42.94,96,100,5.88,overcast clouds
166,Nigde,TR,37.8333,34.75,56.41,80,25,4.32,scattered clouds
167,Lompoc,US,34.6391,-120.4579,86.02,73,20,9.22,few clouds
168,San Quintin,MX,30.4833,-115.95,73.54,72,4,10.87,clear sky
169,Grand Gaube,MU,-20.0064,57.6608,72.37,70,40,7.0,scattered clouds
170,Kloulklubed,PW,7.0419,134.2556,83.53,76,100,12.71,heavy intensity rain
171,Bucerias,MX,20.75,-105.3333,87.98,70,40,6.85,scattered clouds
172,Grindavik,IS,63.8424,-22.4338,44.55,81,75,29.93,broken clouds
173,Opuwo,NA,-18.0607,13.84,75.34,26,0,4.9,clear sky
